,chromosome,strand,start,end,length
nogene_chr2_292198_292878,2,+,292198,292878,681
nogene_chr2_306298_306760,2,+,306298,306760,463
nogene_chr2_307551_308924,2,+,307551,308924,1374
nogene_chr2_315734_316431,2,-,315734,316431,698
nogene_chr2_321334_321978,2,+,321334,321978,645
nogene_chr2_324172_325081,2,+,324172,325081,910
nogene_chr2_325779_326719,2,+,325779,326719,941
nogene_chr2_326556_326766,2,-,326556,326766,211
nogene_chr2_329589_330545,2,+,329589,330545,957
nogene_chr2_336665_336894,2,+,336665,336894,230
nogene_chr2_337251_337627,2,+,337251,337627,377
nogene_chr2_341112_342336,2,+,341112,342336,1225
nogene_chr2_349671_349897,2,-,349671,349897,227
nogene_chr2_350152_350593,2,-,350152,350593,442
nogene_chr2_356293_356834,2,+,356293,356834,542
nogene_chr2_362531_364707,2,+,362531,364707,2177
nogene_chr2_365927_366580,2,+,365927,366580,654
nogene_chr2_370596_370907,2,+,370596,370907,312
nogene_chr2_371429_373859,2,+,371429,373859,2431
nogene_chr2_376472_379005,2,+,376472,379005,2534
nogene_chr2_379227_379475,2,+,379227,379475,249
nogene_chr2_380588_380992,2,-,380588,380992,405
nogene_chr2_390094_390295,2,-,390094,390295,202
nogene_chr2_390476_390782,2,-,390476,390782,307
nogene_chr2_391981_392410,2,+,391981,392410,430
nogene_chr2_407509_408361,2,-,407509,408361,853
nogene_chr2_414500_414716,2,+,414500,414716,217
nogene_chr2_418427_418645,2,+,418427,418645,219
nogene_chr2_426230_426480,2,+,426230,426480,251
nogene_chr2_427192_427629,2,+,427192,427629,438
nogene_chr2_427800_428646,2,+,427800,428646,847
nogene_chr2_428779_429206,2,+,428779,429206,428
nogene_chr2_429644_431761,2,+,429644,431761,2118
nogene_chr2_474396_477030,2,+,474396,477030,2635
nogene_chr2_476967_477235,2,-,476967,477235,269
nogene_chr2_483806_484140,2,+,483806,484140,335
nogene_chr2_488848_489059,2,+,488848,489059,212
nogene_chr2_493141_493541,2,+,493141,493541,401
nogene_chr2_495616_496283,2,+,495616,496283,668
nogene_chr2_532552_533293,2,+,532552,533293,742
nogene_chr2_545913_546228,2,-,545913,546228,316
nogene_chr2_551368_551568,2,+,551368,551568,201
nogene_chr2_560941_561219,2,-,560941,561219,279
nogene_chr2_571490_571894,2,+,571490,571894,405
nogene_chr2_581778_582281,2,+,581778,582281,504
nogene_chr2_589585_591284,2,-,589585,591284,1700
nogene_chr2_601195_602169,2,-,601195,602169,975
nogene_chr2_614551_614878,2,+,614551,614878,328
nogene_chr2_615009_615298,2,+,615009,615298,290
nogene_chr2_615431_616411,2,+,615431,616411,981
nogene_chr2_628915_629634,2,-,628915,629634,720
nogene_chr2_643253_643463,2,+,643253,643463,211
nogene_chr2_643838_645080,2,+,643838,645080,1243
nogene_chr2_651212_652758,2,-,651212,652758,1547
nogene_chr2_653060_653508,2,-,653060,653508,449
nogene_chr2_653878_654304,2,-,653878,654304,427
nogene_chr2_680487_681836,2,-,680487,681836,1350
nogene_chr2_680832_681819,2,+,680832,681819,988
nogene_chr2_697888_698774,2,+,697888,698774,887
nogene_chr2_703517_703726,2,+,703517,703726,210
nogene_chr2_704096_704376,2,+,704096,704376,281
nogene_chr2_714734_715155,2,+,714734,715155,422
nogene_chr2_722233_722824,2,-,722233,722824,592
nogene_chr2_727253_727516,2,+,727253,727516,264
nogene_chr2_739046_739528,2,-,739046,739528,483
nogene_chr2_774086_774305,2,-,774086,774305,220
nogene_chr2_775840_776183,2,-,775840,776183,344
nogene_chr2_778537_779280,2,+,778537,779280,744
nogene_chr2_784445_784668,2,+,784445,784668,224
nogene_chr2_785498_786391,2,+,785498,786391,894
nogene_chr2_786187_786806,2,-,786187,786806,620
nogene_chr2_788429_792435,2,-,788429,792435,4007
nogene_chr2_799316_799643,2,-,799316,799643,328
nogene_chr2_800539_800928,2,-,800539,800928,390
nogene_chr2_807436_808323,2,+,807436,808323,888
nogene_chr3_29900_30282,3,-,29900,30282,383
nogene_chr3_30817_31089,3,-,30817,31089,273
nogene_chr3_39076_39430,3,+,39076,39430,355
nogene_chr3_39713_41348,3,+,39713,41348,1636
nogene_chr3_48773_48990,3,+,48773,48990,218
nogene_chr3_50762_50981,3,-,50762,50981,220
nogene_chr3_52369_53817,3,-,52369,53817,1449
nogene_chr3_68191_68412,3,+,68191,68412,222
nogene_chr3_70090_71238,3,-,70090,71238,1149
nogene_chr3_75138_75345,3,+,75138,75345,208
nogene_chr3_77791_78042,3,+,77791,78042,252
nogene_chr3_84554_84817,3,-,84554,84817,264
nogene_chr3_84572_84798,3,+,84572,84798,227
nogene_chr3_103664_104934,3,+,103664,104934,1271
nogene_chr3_105161_105638,3,+,105161,105638,478
nogene_chr3_108499_108754,3,-,108499,108754,256
nogene_chr3_113195_114080,3,-,113195,114080,886
nogene_chr3_114764_115156,3,+,114764,115156,393
nogene_chr3_116466_117332,3,+,116466,117332,867
nogene_chr3_120180_120393,3,+,120180,120393,214
nogene_chr3_120570_120771,3,+,120570,120771,202
nogene_chr3_123320_123559,3,+,123320,123559,240
nogene_chr3_124307_125136,3,-,124307,125136,830
nogene_chr3_125259_126210,3,+,125259,126210,952
nogene_chr3_126355_127112,3,+,126355,127112,758
nogene_chr3_127313_127614,3,+,127313,127614,302
nogene_chr3_132306_133749,3,+,132306,133749,1444
nogene_chr3_147924_148584,3,+,147924,148584,661
nogene_chr3_152046_152494,3,+,152046,152494,449
nogene_chr3_152189_152475,3,-,152189,152475,287
nogene_chr3_156250_157100,3,+,156250,157100,851
nogene_chr3_157806_158445,3,+,157806,158445,640
nogene_chr3_158576_159329,3,+,158576,159329,754
nogene_chr3_160781_161007,3,+,160781,161007,227
nogene_chr3_162566_164169,3,+,162566,164169,1604
nogene_chr3_168876_169216,3,+,168876,169216,341
nogene_chr3_168884_169214,3,-,168884,169214,331
nogene_chr3_169465_169855,3,+,169465,169855,391
nogene_chr3_169484_169881,3,-,169484,169881,398
nogene_chr3_172698_173018,3,+,172698,173018,321
nogene_chr3_177098_177538,3,+,177098,177538,441
nogene_chr3_178399_179082,3,-,178399,179082,684
nogene_chr3_185687_185898,3,-,185687,185898,212
nogene_chr3_202790_204597,3,+,202790,204597,1808
nogene_chr3_204724_205028,3,+,204724,205028,305
nogene_chr3_205196_205465,3,+,205196,205465,270
nogene_chr3_214398_214665,3,-,214398,214665,268
nogene_chr3_242634_244137,3,+,242634,244137,1504
nogene_chr3_253184_254113,3,-,253184,254113,930
nogene_chr3_262845_263142,3,-,262845,263142,298
nogene_chr3_290527_290954,3,-,290527,290954,428
nogene_chr3_291403_291663,3,+,291403,291663,261
nogene_chr3_295527_295943,3,+,295527,295943,417
nogene_chr3_298746_300662,3,+,298746,300662,1917
nogene_chr3_303318_303629,3,+,303318,303629,312
nogene_chr3_306211_306536,3,+,306211,306536,326
nogene_chr3_308245_309890,3,-,308245,309890,1646
nogene_chr3_310544_311004,3,-,310544,311004,461
nogene_chr3_311468_314505,3,-,311468,314505,3038
nogene_chr4_18668_20078,4,-,18668,20078,1411
nogene_chr4_21512_22355,4,-,21512,22355,844
nogene_chr4_34361_34574,4,+,34361,34574,214
nogene_chr4_35595_36641,4,+,35595,36641,1047
nogene_chr4_49913_51035,4,+,49913,51035,1123
nogene_chr4_57080_57387,4,+,57080,57387,308
nogene_chr4_59177_60565,4,+,59177,60565,1389
nogene_chr4_73617_74314,4,+,73617,74314,698
nogene_chr4_74508_76617,4,+,74508,76617,2110
nogene_chr4_76956_77245,4,+,76956,77245,290
nogene_chr4_79816_80202,4,+,79816,80202,387
nogene_chr4_80720_83366,4,+,80720,83366,2647
nogene_chr4_101457_103596,4,+,101457,103596,2140
nogene_chr4_104450_104705,4,+,104450,104705,256
nogene_chr4_105074_105288,4,+,105074,105288,215
nogene_chr4_115408_116006,4,-,115408,116006,599
nogene_chr4_134422_135438,4,-,134422,135438,1017
nogene_chr4_137539_137789,4,-,137539,137789,251
nogene_chr4_138954_139194,4,-,138954,139194,241
nogene_chr4_145794_146659,4,+,145794,146659,866
nogene_chr4_149457_149661,4,+,149457,149661,205
nogene_chr4_163454_164005,4,+,163454,164005,552
nogene_chr4_165165_165364,4,+,165165,165364,200
nogene_chr4_198678_199096,4,+,198678,199096,419
nogene_chr4_213056_217117,4,-,213056,217117,4062
nogene_chr4_219404_219819,4,+,219404,219819,416
nogene_chr4_220997_221525,4,+,220997,221525,529
nogene_chr4_231481_234230,4,-,231481,234230,2750
nogene_chr4_235087_235412,4,-,235087,235412,326
nogene_chr4_239029_239494,4,+,239029,239494,466
nogene_chr4_240628_241544,4,-,240628,241544,917
nogene_chr4_241676_241940,4,-,241676,241940,265
nogene_chr4_245783_246151,4,-,245783,246151,369
nogene_chr4_254169_254564,4,+,254169,254564,396
nogene_chr4_268644_269134,4,-,268644,269134,491
nogene_chr4_292334_292675,4,-,292334,292675,342
nogene_chr4_303941_304768,4,-,303941,304768,828
nogene_chr4_310527_311005,4,+,310527,311005,479
nogene_chr4_312709_314151,4,+,312709,314151,1443
nogene_chr4_316579_316917,4,+,316579,316917,339
nogene_chr4_320364_320850,4,+,320364,320850,487
nogene_chr4_322708_323594,4,-,322708,323594,887
nogene_chr4_323941_324479,4,+,323941,324479,539
nogene_chr4_352293_352514,4,-,352293,352514,222
nogene_chr4_357723_358088,4,+,357723,358088,366
nogene_chr4_358266_358837,4,-,358266,358837,572
nogene_chr4_358488_358776,4,+,358488,358776,289
nogene_chr4_358940_359481,4,+,358940,359481,542
nogene_chr4_367569_367944,4,+,367569,367944,376
nogene_chr4_370926_371882,4,-,370926,371882,957
nogene_chr4_378669_378878,4,+,378669,378878,210
nogene_chr4_381743_381970,4,+,381743,381970,228
nogene_chr4_387017_388668,4,+,387017,388668,1652
nogene_chr4_388793_389251,4,+,388793,389251,459
nogene_chr4_392601_393142,4,+,392601,393142,542
nogene_chr4_407699_408182,4,+,407699,408182,484
nogene_chr4_409483_409857,4,+,409483,409857,375
nogene_chr4_410669_411236,4,-,410669,411236,568
nogene_chr4_414357_414647,4,-,414357,414647,291
nogene_chr4_423620_423971,4,+,423620,423971,352
nogene_chr4_443590_444121,4,-,443590,444121,532
nogene_chr4_445688_446033,4,-,445688,446033,346
nogene_chr4_452974_453369,4,-,452974,453369,396
nogene_chr4_454735_455091,4,-,454735,455091,357
nogene_chr4_455818_456021,4,-,455818,456021,204
nogene_chr4_457133_457803,4,+,457133,457803,671
nogene_chr4_464487_464820,4,-,464487,464820,334
nogene_chr4_470576_471362,4,-,470576,471362,787
nogene_chr4_476767_477251,4,+,476767,477251,485
nogene_chr4_482761_483053,4,+,482761,483053,293
nogene_chr4_488926_489150,4,-,488926,489150,225
nogene_chr4_501865_502184,4,+,501865,502184,320
nogene_chr4_506340_507225,4,-,506340,507225,886
nogene_chr4_512530_513391,4,+,512530,513391,862
nogene_chr4_520058_520648,4,+,520058,520648,591
nogene_chr4_538142_538537,4,+,538142,538537,396
nogene_chr4_538750_539397,4,-,538750,539397,648
nogene_chr4_542184_543554,4,+,542184,543554,1371
nogene_chr4_544028_545759,4,+,544028,545759,1732
nogene_chr4_544722_545851,4,-,544722,545851,1130
nogene_chr4_556785_557287,4,+,556785,557287,503
nogene_chr4_563846_564088,4,-,563846,564088,243
nogene_chr4_568992_569706,4,+,568992,569706,715
nogene_chr4_575462_576191,4,-,575462,576191,730
nogene_chr4_578318_579010,4,-,578318,579010,693
nogene_chr4_589797_590260,4,+,589797,590260,464
nogene_chr4_590694_590918,4,+,590694,590918,225
nogene_chr4_592583_592904,4,-,592583,592904,322
nogene_chr4_593089_593393,4,-,593089,593393,305
nogene_chr4_598453_599568,4,-,598453,599568,1116
nogene_chr4_599767_600034,4,-,599767,600034,268
nogene_chr4_601196_601682,4,-,601196,601682,487
nogene_chr4_602335_602758,4,+,602335,602758,424
nogene_chr4_614260_614639,4,+,614260,614639,380
nogene_chr4_616600_617450,4,+,616600,617450,851
nogene_chr4_617597_618395,4,+,617597,618395,799
nogene_chr4_621007_621578,4,-,621007,621578,572
nogene_chr4_628846_629311,4,+,628846,629311,466
nogene_chr4_629804_630566,4,-,629804,630566,763
nogene_chr4_643269_643789,4,+,643269,643789,521
nogene_chr4_644283_644656,4,+,644283,644656,374
nogene_chr4_651641_652204,4,+,651641,652204,564
nogene_chr4_651778_653009,4,-,651778,653009,1232
nogene_chr4_667668_667943,4,-,667668,667943,276
nogene_chr4_680270_680699,4,+,680270,680699,430
nogene_chr4_687438_687758,4,-,687438,687758,321
nogene_chr4_690162_690369,4,-,690162,690369,208
nogene_chr4_703291_704097,4,-,703291,704097,807
nogene_chr4_718696_719794,4,+,718696,719794,1099
nogene_chr4_720633_720893,4,+,720633,720893,261
nogene_chr4_721252_721489,4,+,721252,721489,238
nogene_chr4_722358_723011,4,+,722358,723011,654
nogene_chr4_785149_785545,4,-,785149,785545,397
nogene_chr4_794532_795092,4,+,794532,795092,561
nogene_chr4_795368_795699,4,-,795368,795699,332
nogene_chr4_801820_802078,4,+,801820,802078,259
nogene_chr4_803275_803550,4,+,803275,803550,276
nogene_chr4_803319_803529,4,-,803319,803529,211
nogene_chr4_803820_804145,4,+,803820,804145,326
nogene_chr4_804783_805071,4,+,804783,805071,289
nogene_chr4_807050_807410,4,-,807050,807410,361
nogene_chr4_829007_829332,4,-,829007,829332,326
nogene_chr4_831901_832710,4,+,831901,832710,810
nogene_chr4_845544_845767,4,+,845544,845767,224
nogene_chr4_870231_870463,4,-,870231,870463,233
nogene_chr4_871617_871825,4,-,871617,871825,209
nogene_chr4_882660_882863,4,-,882660,882863,204
nogene_chr4_892030_892353,4,-,892030,892353,324
nogene_chr4_892726_893358,4,-,892726,893358,633
nogene_chr4_904374_905091,4,+,904374,905091,718
nogene_chr4_908434_909319,4,-,908434,909319,886
nogene_chr4_909944_913682,4,-,909944,913682,3739
nogene_chr4_915832_916147,4,-,915832,916147,316
nogene_chr4_933217_933417,4,-,933217,933417,201
nogene_chr4_936467_936758,4,-,936467,936758,292
nogene_chr4_954028_954750,4,-,954028,954750,723
nogene_chr4_968092_969737,4,+,968092,969737,1646
nogene_chr4_976935_977906,4,+,976935,977906,972
nogene_chr4_979618_980091,4,+,979618,980091,474
nogene_chr4_980062_980971,4,-,980062,980971,910
nogene_chr4_986171_986415,4,+,986171,986415,245
nogene_chr4_1004468_1005175,4,-,1004468,1005175,708
nogene_chr4_1011008_1011296,4,-,1011008,1011296,289
nogene_chr4_1014131_1015657,4,+,1014131,1015657,1527
nogene_chr4_1017898_1019011,4,-,1017898,1019011,1114
nogene_chr4_1022736_1023076,4,+,1022736,1023076,341
nogene_chr4_1023422_1023715,4,+,1023422,1023715,294
nogene_chr4_1030602_1030964,4,+,1030602,1030964,363
nogene_chr4_1045425_1045752,4,+,1045425,1045752,328
nogene_chr4_1049893_1050551,4,+,1049893,1050551,659
nogene_chr4_1055486_1055765,4,-,1055486,1055765,280
nogene_chr4_1071536_1071983,4,+,1071536,1071983,448
nogene_chr4_1072171_1072731,4,+,1072171,1072731,561
nogene_chr4_1080833_1081550,4,+,1080833,1081550,718
nogene_chr4_1094400_1095777,4,-,1094400,1095777,1378
nogene_chr4_1095524_1095770,4,+,1095524,1095770,247
nogene_chr4_1101632_1101907,4,+,1101632,1101907,276
nogene_chr4_1102055_1103716,4,-,1102055,1103716,1662
nogene_chr4_1106014_1106407,4,+,1106014,1106407,394
nogene_chr4_1130807_1131109,4,-,1130807,1131109,303
nogene_chr4_1140218_1140417,4,-,1140218,1140417,200
nogene_chr4_1145762_1146042,4,-,1145762,1146042,281
nogene_chr4_1157009_1157385,4,-,1157009,1157385,377
nogene_chr4_1157516_1157725,4,-,1157516,1157725,210
nogene_chr4_1158604_1159138,4,-,1158604,1159138,535
nogene_chr4_1162367_1162913,4,+,1162367,1162913,547
nogene_chr4_1165527_1166019,4,+,1165527,1166019,493
nogene_chr4_1166723_1167083,4,+,1166723,1167083,361
nogene_chr4_1172279_1172674,4,+,1172279,1172674,396
nogene_chr4_1174421_1174752,4,-,1174421,1174752,332
nogene_chr4_1174477_1175338,4,+,1174477,1175338,862
nogene_chr4_1175478_1175694,4,+,1175478,1175694,217
nogene_chr4_1181389_1181674,4,-,1181389,1181674,286
nogene_chr4_1182392_1183757,4,-,1182392,1183757,1366
nogene_chr4_1192828_1193527,4,+,1192828,1193527,700
nogene_chr4_1204255_1204480,4,+,1204255,1204480,226
nogene_chr4_1234023_1236087,4,-,1234023,1236087,2065
nogene_chr4_1238725_1238986,4,+,1238725,1238986,262
nogene_chr4_1239406_1239689,4,-,1239406,1239689,284
nogene_chr4_1240188_1240586,4,+,1240188,1240586,399
nogene_chr4_1259735_1260085,4,-,1259735,1260085,351
nogene_chr4_1260454_1261275,4,-,1260454,1261275,822
nogene_chr4_1269227_1269574,4,-,1269227,1269574,348
nogene_chr4_1274270_1275013,4,-,1274270,1275013,744
nogene_chr4_1275164_1275687,4,-,1275164,1275687,524
nogene_chr4_1279099_1279851,4,-,1279099,1279851,753
nogene_chr4_1288286_1289214,4,+,1288286,1289214,929
nogene_chr4_1292586_1292904,4,+,1292586,1292904,319
nogene_chr4_1295810_1296758,4,+,1295810,1296758,949
nogene_chr4_1297122_1297344,4,+,1297122,1297344,223
nogene_chr4_1300372_1301086,4,-,1300372,1301086,715
nogene_chr4_1302128_1302430,4,-,1302128,1302430,303
nogene_chr4_1302996_1303394,4,-,1302996,1303394,399
nogene_chr4_1311700_1312483,4,-,1311700,1312483,784
nogene_chr4_1319469_1319710,4,+,1319469,1319710,242
nogene_chr4_1323654_1324314,4,+,1323654,1324314,661
nogene_chr4_1336627_1336907,4,-,1336627,1336907,281
nogene_chr4_1338183_1339345,4,-,1338183,1339345,1163
nogene_chr4_1340474_1342130,4,-,1340474,1342130,1657
nogene_chr4_1352986_1353470,4,-,1352986,1353470,485
nogene_chr4_1355929_1356320,4,-,1355929,1356320,392
nogene_chr4_1361162_1361426,4,+,1361162,1361426,265
nogene_chr4_1361604_1362349,4,+,1361604,1362349,746
nogene_chr4_1383601_1384067,4,-,1383601,1384067,467
nogene_chr4_1402583_1402789,4,-,1402583,1402789,207
nogene_chr4_1406140_1408841,4,+,1406140,1408841,2702
nogene_chr4_1409485_1410229,4,+,1409485,1410229,745
nogene_chr4_1410570_1411268,4,+,1410570,1411268,699
nogene_chr4_1417275_1417522,4,-,1417275,1417522,248
nogene_chr4_1417649_1418016,4,-,1417649,1418016,368
nogene_chr4_1433252_1433485,4,+,1433252,1433485,234
nogene_chr4_1438750_1439195,4,+,1438750,1439195,446
nogene_chr4_1455040_1455300,4,+,1455040,1455300,261
nogene_chr4_1456144_1456893,4,+,1456144,1456893,750
nogene_chr4_1459845_1460554,4,+,1459845,1460554,710
nogene_chr4_1466169_1466463,4,+,1466169,1466463,295
nogene_chr4_1480103_1480496,4,-,1480103,1480496,394
nogene_chr4_1483777_1485004,4,+,1483777,1485004,1228
nogene_chr4_1492122_1493058,4,-,1492122,1493058,937
nogene_chr4_1500753_1501650,4,+,1500753,1501650,898
nogene_chr4_1507788_1509724,4,-,1507788,1509724,1937
nogene_chr4_1513756_1513977,4,-,1513756,1513977,222
nogene_chr4_1514109_1514530,4,-,1514109,1514530,422
nogene_chr4_1514322_1515484,4,+,1514322,1515484,1163
nogene_chr4_1516682_1516918,4,+,1516682,1516918,237
nogene_chr4_1518296_1519143,4,+,1518296,1519143,848
nogene_chr4_1521226_1522454,4,+,1521226,1522454,1229
nogene_chr5_7858_8115,5,+,7858,8115,258
nogene_chr5_8357_9720,5,-,8357,9720,1364
nogene_chr5_10008_10374,5,+,10008,10374,367
nogene_chr5_10218_11609,5,-,10218,11609,1392
nogene_chr5_11378_11961,5,+,11378,11961,584
nogene_chr5_14641_14946,5,-,14641,14946,306
nogene_chr5_15302_15905,5,-,15302,15905,604
nogene_chr5_21755_22321,5,+,21755,22321,567
nogene_chr5_22457_22789,5,+,22457,22789,333
nogene_chr5_22973_23469,5,+,22973,23469,497
nogene_chr5_23761_25454,5,+,23761,25454,1694
nogene_chr5_31168_31418,5,+,31168,31418,251
nogene_chr5_39907_42026,5,+,39907,42026,2120
nogene_chr5_51910_52124,5,+,51910,52124,215
nogene_chr5_53569_53904,5,+,53569,53904,336
nogene_chr5_58795_59132,5,-,58795,59132,338
nogene_chr5_61122_61864,5,+,61122,61864,743
nogene_chr5_61527_61872,5,-,61527,61872,346
nogene_chr5_62535_63925,5,-,62535,63925,1391
nogene_chr5_75747_77340,5,-,75747,77340,1594
nogene_chr5_89430_89850,5,-,89430,89850,421
nogene_chr5_98289_99396,5,-,98289,99396,1108
nogene_chr5_100600_100819,5,-,100600,100819,220
nogene_chr5_110909_111126,5,+,110909,111126,218
nogene_chr5_117593_118073,5,-,117593,118073,481
nogene_chr5_130984_131326,5,-,130984,131326,343
nogene_chr5_132585_135422,5,-,132585,135422,2838
nogene_chr5_137238_138501,5,+,137238,138501,1264
nogene_chr5_138712_138911,5,+,138712,138911,200
nogene_chr5_146900_147166,5,-,146900,147166,267
nogene_chr5_147289_147776,5,-,147289,147776,488
nogene_chr5_150346_150717,5,+,150346,150717,372
nogene_chr5_150897_151181,5,+,150897,151181,285
nogene_chr5_151211_151791,5,-,151211,151791,581
nogene_chr5_152067_152480,5,-,152067,152480,414
nogene_chr5_152386_152704,5,+,152386,152704,319
nogene_chr5_155979_156401,5,-,155979,156401,423
nogene_chr5_161318_162375,5,-,161318,162375,1058
nogene_chr5_166742_166941,5,+,166742,166941,200
nogene_chr5_167118_167786,5,+,167118,167786,669
nogene_chr5_167943_168336,5,+,167943,168336,394
nogene_chr5_173419_173790,5,+,173419,173790,372
nogene_chr5_176043_176986,5,-,176043,176986,944
nogene_chr5_176325_176648,5,+,176325,176648,324
nogene_chr5_177127_177388,5,+,177127,177388,262
nogene_chr5_177152_177502,5,-,177152,177502,351
nogene_chr5_178136_178436,5,-,178136,178436,301
nogene_chr5_186894_188138,5,-,186894,188138,1245
nogene_chr5_201898_202574,5,-,201898,202574,677
nogene_chr5_202893_204510,5,-,202893,204510,1618
nogene_chr5_207724_207926,5,+,207724,207926,203
nogene_chr5_210548_210788,5,+,210548,210788,241
nogene_chr5_211855_212466,5,+,211855,212466,612
nogene_chr5_222711_222943,5,-,222711,222943,233
nogene_chr5_238612_239012,5,+,238612,239012,401
nogene_chr5_239638_241886,5,+,239638,241886,2249
nogene_chr5_241784_242565,5,-,241784,242565,782
nogene_chr5_243060_243410,5,-,243060,243410,351
nogene_chr5_248557_248877,5,+,248557,248877,321
nogene_chr5_249010_249243,5,+,249010,249243,234
nogene_chr5_258382_258893,5,+,258382,258893,512
nogene_chr5_259936_260245,5,+,259936,260245,310
nogene_chr5_262020_262639,5,+,262020,262639,620
nogene_chr5_268552_269515,5,+,268552,269515,964
nogene_chr5_270693_271602,5,+,270693,271602,910
nogene_chr5_280422_280862,5,+,280422,280862,441
nogene_chr5_284564_287454,5,+,284564,287454,2891
nogene_chr5_288568_289285,5,-,288568,289285,718
nogene_chr5_289373_289890,5,+,289373,289890,518
nogene_chr5_294427_294727,5,-,294427,294727,301
nogene_chr5_297942_298257,5,-,297942,298257,316
nogene_chr5_302553_303418,5,-,302553,303418,866
nogene_chr5_310911_311289,5,+,310911,311289,379
nogene_chr5_311695_312017,5,-,311695,312017,323
nogene_chr5_314032_314474,5,+,314032,314474,443
nogene_chr5_316815_317247,5,+,316815,317247,433
nogene_chr5_318772_319653,5,-,318772,319653,882
nogene_chr5_332719_333602,5,+,332719,333602,884
