,chromosome,strand,start,end,length,overlapping_gene,rna_called_tss,updated_tss,promoter_start,promoter_end,gene_body_start,gene_body_end
265,2,-,21526,23715,2190,YBL103C,,794889,794889,795189,794389,794889
3,2,+,24029,24952,924,YBL102W,,14155,13855,14155,14155,14655
266,2,-,24778,28663,3886,YBL101C,,782946,782946,783246,782446,782946
4,2,+,28563,28666,104,YBL100W-C,,29816,29516,29816,29816,30316
13,2,+,36723,38932,2210,YBL099W,,39977,39677,39977,39977,40477
14,2,+,39152,40625,1474,YBL098W,,62657,62357,62657,62657,63157
15,2,+,40797,44198,3402,YBL097W,,43678,43378,43678,43678,44178
270,2,-,43507,43715,209,YBL094C,,803650,803650,803950,803150,803650
271,2,-,44017,44997,981,YBL093C,,810978,810978,811278,810478,810978
16,2,+,45624,47483,1860,YBL092W,,67550,67250,67550,67550,68050
273,2,-,46426,48578,2153,YBL091C,,818295,818295,818595,817795,818295
18,2,+,48817,51326,2510,YBL090W,,75136,74836,75136,75136,75636
276,2,-,50859,60783,9925,YBL087C,,818729,818729,819029,818229,818729
277,2,-,61128,62613,1486,YBL086C,,829827,829827,830127,829327,829827
20,2,+,63681,66912,3232,YBL085W,,55476,55176,55476,55476,55976
278,2,-,66984,69485,2502,YBL084C,,826321,826321,826621,825821,826321
279,2,-,69628,71310,1683,YBL082C,,833704,833704,834004,833204,833704
21,2,+,71567,73060,1494,YBL081W,,86179,85879,86179,86179,86679
280,2,-,72931,74666,1736,YBL080C,,837124,837124,837424,836624,837124
22,2,+,75189,79967,4779,YBL079W,,85485,85185,85485,85485,85985
281,2,-,79837,80696,860,YBL078C,,840992,840992,841292,840492,840992
282,2,-,80870,88020,7151,YBL074C,,843210,843210,843510,842710,843210
283,2,-,88210,88550,341,YBL072C,,847364,847364,847664,846864,847364
284,2,-,88918,89480,563,YBL071C-B,,856812,856812,857112,856312,856812
25,2,+,89948,92184,2237,YBL071W-A,,72520,72220,72520,72520,73020
26,2,+,92355,93658,1304,YBL068W,,74122,73822,74122,74122,74622
286,2,-,93469,96073,2605,YBL067C,,861065,861065,861365,860565,861065
287,2,-,96285,100081,3797,YBL066C,,14693,14693,14993,14193,14693
288,2,-,100262,101141,880,YBL064C,,861062,861062,861362,860562,861062
28,2,+,101922,105305,3384,YBL063W,,103064,102764,103064,103064,103564
290,2,-,105130,107447,2318,YBL061C,,870727,870727,871027,870227,870727
29,2,+,107738,110037,2300,YBL060W,,105025,104725,105025,105025,105525
291,2,-,109832,111102,1271,YBL059C-A,,868282,868282,868582,867782,868282
30,2,+,110705,112836,2132,YBL059W,,108557,108257,108557,108557,109057
292,2,-,112665,113390,726,YBL057C,,877929,877929,878229,877429,877929
31,2,+,113654,119508,5855,YBL056W,,115256,114956,115256,115256,115756
294,2,-,113925,117146,3222,YBL055C,,882878,882878,883178,882378,882878
295,2,-,119263,122054,2792,YBL052C,,888930,888930,889230,888430,888930
296,2,-,122285,124766,2482,YBL051C,,888958,888958,889258,888458,888958
33,2,+,125052,126210,1159,YBL050W,,117064,116764,117064,117064,117564
297,2,-,126025,132143,6119,YBL047C,,892323,892323,892623,891823,892323
34,2,+,126657,128844,2188,YBL049W,,118267,117967,118267,118267,118767
35,2,+,132428,133896,1469,YBL046W,,121497,121197,121497,121497,121997
298,2,-,133807,135689,1883,YBL045C,,895956,895956,896256,895456,895956
36,2,+,136387,137597,1211,YBL044W,,125967,125667,125967,125967,126467
299,2,-,137708,140271,2564,YBL042C,,900130,900130,900430,899630,900130
38,2,+,141023,142091,1069,YBL041W,,130009,129709,130009,130009,130509
300,2,-,141933,142938,1006,YBL040C,,900683,900683,900983,900183,900683
39,2,+,143139,143691,553,YBL039W-B,,132547,132247,132547,132547,133047
301,2,-,143575,145750,2176,YBL039C-A,,906904,906904,907204,906404,906904
40,2,+,146133,150396,4264,YBL038W,,135753,135453,135753,135753,136253
302,2,-,150270,159662,9393,YBL033C,,911290,911290,911590,910790,911290
41,2,+,160098,161496,1399,YBL032W,,136365,136065,136365,136365,136865
42,2,+,161700,162793,1094,YBL031W,,138642,138342,138642,138642,139142
304,2,-,162710,164100,1391,YBL030C,,919319,919319,919619,918819,919319
305,2,-,164309,164878,570,YBL029C-A,,922501,922501,922801,922001,922501
44,2,+,166132,167454,1323,YBL029W,,143429,143129,143429,143429,143929
309,2,-,167209,167844,636,YBL028C,,86720,86720,87020,86220,86720
45,2,+,168435,174847,6413,YBL027W,,150600,150300,150600,150600,151100
313,2,-,174710,177558,2849,YBL023C,,15047,15047,15347,14547,15047
314,2,-,177770,181323,3554,YBL022C,,15492,15492,15792,14992,15492
315,2,-,181453,182088,636,YBL021C,,16001,16001,16301,15501,16001
46,2,+,181657,184180,2524,YBL020W,,153455,153155,153455,153455,153955
47,2,+,184321,186006,1686,YBL019W,,157838,157538,157838,157838,158338
317,2,-,185578,186410,833,YBL018C,,981683,981683,981983,981183,981683
318,2,-,186738,192078,5341,YBL017C,,258123,258123,258423,257623,258123
48,2,+,191970,193645,1676,YBL016W,,159842,159542,159842,159842,160342
49,2,+,194009,195950,1942,YBL015W,,141666,141366,141666,141666,142166
319,2,-,198795,202169,3375,YBL014C,,263430,263430,263730,262930,263430
51,2,+,202039,206039,4001,YBL013W,,166095,165795,166095,166095,166595
321,2,-,205645,206894,1250,YBL010C,,29713,29713,30013,29213,29713
52,2,+,207161,209380,2220,YBL009W,,147334,147034,147334,147334,147834
53,2,+,209546,212446,2901,YBL008W-A,,173089,172789,173089,173089,173589
324,2,-,212441,217161,4721,YBL006C,,46500,46500,46800,46000,46500
54,2,+,216739,221030,4292,YBL006W-A,,174561,174261,174561,174561,175061
58,2,+,227524,235248,7725,YBL004W,,170773,170473,170773,170773,171273
327,2,-,234939,235829,891,YBL003C,,56444,56444,56744,55944,56444
59,2,+,236133,237278,1146,YBL002W,,181655,181355,181655,181655,182155
328,2,-,236845,237494,650,YBL001C,,145879,145879,146179,145379,145879
329,2,-,238734,242536,3803,YBR002C,,1023511,1023511,1023811,1023011,1023511
62,2,+,242761,244348,1588,YBR003W,,195442,195142,195442,195442,195942
330,2,-,244247,245672,1426,YBR004C,,66917,66917,67217,66417,66917
63,2,+,245840,246715,876,YBR005W,,198189,197889,198189,198189,198689
331,2,-,246877,251089,4213,YBR007C,,72973,72973,73273,72473,72973
64,2,+,246932,248613,1682,YBR006W,,203252,202952,203252,203252,203752
332,2,-,251872,255792,3921,YBR009C,,73866,73866,74166,73366,73866
69,2,+,256257,257088,832,YBR010W,,217128,216828,217128,217128,217628
334,2,-,256868,257974,1107,YBR011C,,1044274,1044274,1044574,1043774,1044274
335,2,-,266464,267365,902,YBR014C,,76288,76288,76588,75788,76288
336,2,-,267487,269855,2369,YBR015C,,79348,79348,79648,78848,79348
72,2,+,270173,270922,750,YBR016W,,223178,222878,223178,223178,223678
337,2,-,270737,273701,2965,YBR017C,,82226,82226,82526,81726,82226
338,2,-,276140,276447,308,YBR019C,,85314,85314,85614,84814,85314
73,2,+,276823,280706,3884,YBR020W,,228221,227921,228221,228221,228721
74,2,+,281328,283496,2169,YBR021W,,231142,230842,231142,231142,231642
340,2,-,283335,288009,4675,YBR023C,,96160,96160,96460,95660,96160
75,2,+,283678,284541,864,YBR022W,,237336,237036,237336,237336,237836
77,2,+,289358,290666,1309,YBR024W,,282135,281835,282135,282135,282635
344,2,-,290356,291905,1550,YBR025C,,102874,102874,103174,102374,102874
345,2,-,292657,294020,1364,YBR027C,,105474,105474,105774,104974,105474
346,2,-,294223,295981,1759,YBR028C,,1922,1922,2222,1422,1922
347,2,-,296204,297962,1759,YBR029C,,348552,348552,348852,348052,348552
81,2,+,298022,300276,2255,YBR030W,,298190,297890,298190,298190,298690
83,2,+,300906,301337,432,YBR031W,,247112,246812,247112,247112,247612
349,2,-,301287,308012,6726,YBR035C,,213908,213908,214208,213408,213908
84,2,+,303909,304842,934,YBR033W,,254705,254405,254705,254705,255205
350,2,-,308758,310296,1539,YBR036C,,355080,355080,355380,354580,355080
351,2,-,310467,311401,935,YBR037C,,356852,356852,357152,356352,356852
87,2,+,311824,314956,3133,YBR038W,,259400,259400,259700,258900,259400
88,2,+,315492,316660,1169,YBR039W,,264616,264616,264916,264116,264616
89,2,+,316910,320429,3520,YBR040W,,267791,267491,267791,267791,268291
354,2,-,320341,323995,3655,YBR043C,,128219,128219,128519,127719,128219
355,2,-,324219,326054,1836,YBR044C,,129195,129195,129495,128695,129195
357,2,-,327403,331502,4100,YBR046C,,22535,22535,22835,22035,22535
95,2,+,331805,332452,648,YBR047W,,296399,296099,296399,296399,296899
96,2,+,332719,334057,1339,YBR048W,,297022,297022,297322,296522,297022
358,2,-,333920,336889,2970,YBR049C,,144067,144067,144367,143567,144067
359,2,-,337127,338236,1110,YBR050C,,111581,111581,111881,111081,111581
360,2,-,338466,340703,2238,YBR053C,,150226,150226,150526,149726,150226
101,2,+,342626,344617,1992,YBR054W,,307888,307888,308188,307388,307888
362,2,-,344430,347315,2886,YBR055C,,156228,156228,156528,155728,156228
102,2,+,347681,350719,3039,YBR056W,,309902,309602,309902,309902,310402
365,2,-,350916,351450,535,YBR056C-B,,169363,169363,169663,168863,169363
104,2,+,351187,351960,774,YBR056W-A,,291916,291616,291916,291916,292416
366,2,-,351882,353330,1449,YBR057C,,170089,170089,170389,169589,170089
367,2,-,353498,360253,6756,YBR059C,,170457,170457,170757,169957,170457
368,2,-,360512,362516,2005,YBR060C,,170808,170808,171108,170308,170808
369,2,-,364574,365682,1109,YBR061C,,47564,47564,47864,47064,47564
370,2,-,365821,369664,3844,YBR065C,,172727,172727,173027,172227,172727
371,2,-,369864,371518,1655,YBR066C,,52791,52791,53091,52291,52791
372,2,-,371933,372862,930,YBR067C,,184645,184645,184945,184145,184645
373,2,-,373588,378525,4938,YBR069C,,187777,187777,188077,187277,187777
374,2,-,378987,379917,931,YBR070C,,188553,188553,188853,188053,188553
113,2,+,380273,381306,1034,YBR071W,,383922,383922,384222,383422,383922
114,2,+,381882,382820,939,YBR072W,,355668,355668,355968,355168,355668
377,2,-,382510,382855,346,YBR072C-A,,202517,202517,202817,202017,202517
115,2,+,383164,386100,2937,YBR073W,,360191,360191,360491,359691,360191
116,2,+,386293,389308,3016,YBR074W,,364945,364945,365245,364445,364945
381,2,-,390948,392605,1658,YBR077C,,79719,79719,80019,79219,79719
117,2,+,391077,391318,242,YBR076W,,366909,366909,367209,366409,366909
119,2,+,392944,395356,2413,YBR078W,,345103,345103,345403,344603,345103
382,2,-,395073,400852,5780,YBR080C,,214078,214078,214378,213578,214078
383,2,-,401081,405301,4221,YBR081C,,82990,82990,83290,82490,82990
385,2,-,406409,407219,811,YBR082C,,218339,218339,218639,217839,218339
121,2,+,407581,410752,3172,YBR083W,,373605,373605,373905,373105,373605
122,2,+,410984,414196,3213,YBR084W,,379148,379148,379448,378648,379148
387,2,-,414003,415409,1407,YBR084C-A,,222818,222818,223118,222318,222818
124,2,+,415890,417110,1221,YBR085W,,393999,393999,394299,393499,393999
389,2,-,418455,419248,794,YBR085C-A,,227400,227400,227700,226900,227400
390,2,-,420043,423253,3211,YBR086C,,96356,96356,96656,95856,96356
391,2,-,423523,425787,2265,YBR088C,,230817,230817,231117,230317,230817
127,2,+,423562,424900,1339,YBR087W,,410281,410281,410581,409781,410281
128,2,+,425506,426087,582,YBR089W,,412212,412212,412512,411712,412212
392,2,-,425940,426820,881,YBR090C,,237084,237084,237384,236584,237084
393,2,-,426992,429134,2143,YBR092C,,237901,237901,238201,237401,237901
394,2,-,429452,431723,2272,YBR093C,,238305,238305,238605,237805,238305
134,2,+,431980,434373,2394,YBR094W,,429821,429821,430121,429321,429821
395,2,-,434289,435664,1376,YBR095C,,244076,244076,244376,243576,244076
135,2,+,435961,436772,812,YBR096W,,432497,432497,432797,431997,432497
136,2,+,436937,443892,6956,YBR097W,,416989,416989,417289,416489,416989
397,2,-,442957,447385,4429,YBR102C,,251711,251711,252011,251211,251711
137,2,+,447572,449478,1907,YBR103W,,400367,400067,400367,400367,400867
138,2,+,449603,450895,1293,YBR104W,,444536,444536,444836,444036,444536
399,2,-,450627,451997,1371,YBR105C,,259325,259325,259625,258825,259325
139,2,+,452583,457904,5322,YBR106W,,407028,407028,407328,406528,407028
400,2,-,453185,454517,1333,YBR107C,,261147,261147,261447,260647,261147
401,2,-,457556,458373,818,YBR109C,,264321,264321,264621,263821,264321
140,2,+,458674,460323,1650,YBR109W-A,,410235,410235,410535,409735,410235
402,2,-,460481,461844,1364,YBR111C,,267888,267888,268188,267388,267888
141,2,+,462101,462723,623,YBR111W-A,,412757,412757,413057,412257,412757
403,2,-,462578,465948,3371,YBR112C,,142558,142558,142858,142058,142558
143,2,+,467161,469775,2615,YBR114W,,458768,458768,459068,458268,458768
404,2,-,469575,473964,4390,YBR115C,,272881,272881,273181,272381,272881
405,2,-,474214,475388,1175,YBR117C,,279933,279933,280233,279433,279933
406,2,-,475584,475935,352,YBR117C,,158886,158886,159186,158386,158886
145,2,+,477576,477694,119,YBR118W,,464316,464316,464616,463816,464316
146,2,+,478354,478526,173,YBR118W,,467167,467167,467467,466667,467167
147,2,+,478970,480446,1477,YBR118W,,488393,488393,488693,487893,488393
409,2,-,480254,480945,692,YBR120C,,289225,289225,289525,288725,289225
410,2,-,481147,483429,2283,YBR121C-A,,292413,292413,292713,291913,292413
411,2,-,483705,486679,2975,YBR123C,,297147,297147,297447,296647,297147
412,2,-,486832,488489,1658,YBR125C,,301366,301366,301666,300866,301366
413,2,-,488746,492835,4090,YBR127C,,193545,193545,193845,193045,193545
150,2,+,490825,491373,549,YBR126W-A,,500968,500968,501268,500468,500968
414,2,-,492969,494068,1100,YBR128C,,194752,194752,195052,194252,194752
415,2,-,494201,495297,1097,YBR129C,,546185,546185,546485,545685,546185
416,2,-,495452,496865,1414,YBR130C,,198681,198681,198981,198181,198681
153,2,+,497157,499605,2449,YBR131W,,510488,510488,510788,509988,510488
417,2,-,499329,504366,5038,YBR133C,,308222,308222,308522,307722,308222
155,2,+,504652,513852,9201,YBR134W,,495479,495479,495779,494979,495479
418,2,-,513545,515332,1788,YBR138C,,309594,309594,309894,309094,309594
156,2,+,515666,517488,1823,YBR139W,,497987,497987,498287,497487,497987
419,2,-,517182,528011,10830,YBR141C,,318929,318929,319229,318429,318929
157,2,+,527224,527802,579,YBR141W-A,,449271,449271,449571,448771,449271
158,2,+,528257,530880,2624,YBR142W,,503214,503214,503514,502714,503214
420,2,-,530597,532203,1607,YBR143C,,320727,320727,321027,320227,320727
421,2,-,533121,533297,177,YBR144C,,326174,326174,326474,325674,326174
161,2,+,533590,534979,1390,YBR145W,,459927,459927,460227,459427,459927
162,2,+,535200,537525,2326,YBR146W,,517333,517333,517633,516833,517333
163,2,+,537702,537920,219,YBR148W,,520646,520646,520946,520146,520646
164,2,+,538352,539775,1424,YBR148W,,471873,471873,472173,471373,471873
424,2,-,539655,544612,4958,YBR150C,,337091,337091,337391,336591,337091
165,2,+,539932,541250,1319,YBR149W,,474612,474612,474912,474112,474612
166,2,+,544915,546177,1263,YBR151W,,466562,466562,466862,466062,466562
167,2,+,546322,548420,2099,YBR152W,,527322,527322,527622,526822,527322
426,2,-,548232,549463,1232,YBR154C,,592517,592517,592817,592017,592517
169,2,+,549723,551151,1429,YBR155W,,534939,534939,535239,534439,534939
427,2,-,550850,553185,2336,YBR156C,,576074,576074,576374,575574,576074
428,2,-,553378,555506,2129,YBR157C,,347361,347361,347661,346861,347361
171,2,+,553537,558383,4847,YBR158W,,539152,539152,539452,538652,539152
172,2,+,558608,562977,4370,YBR159W,,502701,502701,503001,502201,502701
431,2,-,562813,564704,1892,YBR162C,,352313,352313,352613,351813,352313
173,2,+,564917,567824,2908,YBR162W-A,,544607,544607,544907,544107,544607
434,2,-,567424,568487,1064,YBR164C,,364760,364760,365060,364260,364760
174,2,+,568798,569806,1009,YBR165W,,548504,548504,548804,548004,548504
435,2,-,569668,571192,1525,YBR166C,,366748,366748,367048,366248,366748
436,2,-,571329,572118,790,YBR167C,,370652,370652,370952,370152,370652
176,2,+,572026,573813,1788,YBR168W,,511654,511654,511954,511154,511654
437,2,-,573714,578066,4353,YBR170C,,267841,267841,268141,267341,267841
178,2,+,578340,579136,797,YBR171W,,556414,556414,556714,555914,556414
438,2,-,578961,582147,3187,YBR173C,,377366,377366,377666,376866,377366
180,2,+,582404,583441,1038,YBR175W,,522940,522940,523240,522440,522940
181,2,+,583626,584823,1198,YBR176W,,525121,525121,525421,524621,525121
439,2,-,584538,586160,1623,YBR177C,,378437,378437,378737,377937,378437
440,2,-,586373,589147,2775,YBR179C,,381426,381426,381726,380926,381426
183,2,+,591240,591352,113,YBR180W,,544961,544961,545261,544461,544961
442,2,-,591516,591781,266,YBR181C,,292091,292091,292391,291591,292091
443,2,-,591995,592715,721,YBR181C,,398107,398107,398407,397607,398107
444,2,-,593159,594984,1826,YBR182C,,404162,404162,404462,403662,404162
445,2,-,595230,595391,162,YBR182C-A,,304191,304191,304491,303691,304191
185,2,+,595967,597132,1166,YBR183W,,576412,576412,576712,575912,576412
186,2,+,597401,599047,1647,YBR184W,,550533,550533,550833,550033,550533
446,2,-,598910,599935,1026,YBR185C,,408757,408757,409057,408257,408757
188,2,+,602539,603711,1173,YBR187W,,610409,610409,610709,609909,610409
449,2,-,603266,604127,862,YBR188C,,315437,315437,315737,314937,315437
189,2,+,604508,605871,1364,YBR189W,,583900,583900,584200,583400,583900
190,2,+,606158,609042,2885,YBR190W,,573090,573090,573390,572590,573090
451,2,-,608420,609803,1384,YBR193C,,423847,423847,424147,423347,423847
191,2,+,609946,610655,710,YBR194W,,575467,575467,575767,574967,575467
452,2,-,610447,611858,1412,YBR195C,,425846,425846,426146,425346,425846
453,2,-,612004,618533,6530,YBR198C,,651689,651689,651989,651189,651689
195,2,+,618827,620579,1753,YBR199W,,586684,586684,586984,586184,586684
196,2,+,620838,622760,1923,YBR200W,,592847,592847,593147,592347,592847
197,2,+,623472,624670,1199,YBR201W,,594389,594389,594689,593889,594389
454,2,-,624239,624845,607,YBR201C-A,,429575,429575,429875,429075,429575
199,2,+,625705,628503,2799,YBR202W,,606000,606000,606300,605500,606000
200,2,+,628999,632131,3133,YBR203W,,610328,610328,610628,609828,610328
456,2,-,631966,633363,1398,YBR204C,,497383,497383,497683,496883,497383
201,2,+,633588,636716,3129,YBR205W,,647380,647380,647680,646880,647380
457,2,-,636540,642563,6024,YBR208C,,668083,668083,668383,667583,668083
204,2,+,645259,646181,923,YBR210W,,662356,662356,662656,661856,662356
459,2,-,646004,647162,1159,YBR211C,,337262,337262,337562,336762,337262
205,2,+,647482,650085,2604,YBR212W,,622970,622970,623270,622470,622970
206,2,+,650324,653164,2841,YBR213W,,627890,627890,628190,627390,627890
207,2,+,653423,655751,2329,YBR215W,,631469,631469,631769,630969,631469
464,2,-,654884,657528,2645,YBR216C,,523354,523354,523654,522854,523354
208,2,+,657789,658693,905,YBR217W,,634094,634094,634394,633594,634094
465,2,-,658509,661557,3049,YBR218C,,458476,458476,458776,457976,458476
466,2,-,661686,662423,738,YBR219C,,695285,695285,695585,694785,695285
467,2,-,662595,664714,2120,YBR220C,,462106,462106,462406,461606,462106
468,2,-,664842,666406,1565,YBR221C,,464042,464042,464342,463542,464042
469,2,-,666569,670276,3708,YBR223C,,466916,466916,467216,466416,466916
209,2,+,670522,673609,3088,YBR224W,,639242,639242,639542,638742,639242
470,2,-,673426,675132,1707,YBR227C,,544933,544933,545233,544433,544933
210,2,+,675076,676445,1370,YBR228W,,641759,641759,642059,641259,641759
472,2,-,675701,679171,3471,YBR229C,,551158,551158,551458,550658,551158
473,2,-,679356,679985,630,YBR230C,,478955,478955,479255,478455,478955
212,2,+,680335,680696,362,YBR230W-A,,645699,645699,645999,645199,645699
475,2,-,682037,683084,1048,YBR231C,,482941,482941,483241,482441,482941
214,2,+,683326,684803,1478,YBR233W,,654154,654154,654454,653654,654154
215,2,+,684945,685589,645,YBR233W-A,,656786,656486,656786,656786,657286
476,2,-,685349,686571,1223,YBR234C,,724268,724268,724568,723768,724268
216,2,+,686849,690679,3831,YBR235W,,664936,664936,665236,664436,664936
477,2,-,689176,691681,2506,YBR236C,,534394,534394,534694,533894,534394
217,2,+,691950,694589,2640,YBR237W,,666675,666675,666975,666175,666675
478,2,-,694606,697301,2696,YBR238C,,491615,491615,491915,491115,491615
480,2,-,698079,700024,1946,YBR239C,,375764,375764,376064,375264,375764
481,2,-,700351,701532,1182,YBR240C,,377741,377741,378041,377241,377741
482,2,-,702483,704157,1675,YBR241C,,502615,502615,502915,502115,502615
221,2,+,704504,705677,1174,YBR242W,,684360,684360,684660,683860,684360
484,2,-,705041,706786,1746,YBR243C,,506376,506376,506676,505876,506376
222,2,+,707365,708179,815,YBR244W,,677135,676835,677135,677135,677635
485,2,-,707793,711342,3550,YBR245C,,514176,514176,514476,513676,514176
223,2,+,711563,712871,1309,YBR246W,,678576,678576,678876,678076,678576
486,2,-,712741,714456,1716,YBR247C,,517737,517737,518037,517237,517737
487,2,-,714623,716497,1875,YBR248C,,391176,391176,391476,390676,391176
488,2,-,716634,718320,1687,YBR249C,,520097,520097,520397,519597,520097
225,2,+,718448,719990,1543,YBR250W,,681250,681250,681550,680750,681250
226,2,+,720127,720698,572,YBR250W,,679211,679211,679511,678711,679211
227,2,+,721335,722419,1085,YBR251W,,685785,685785,686085,685285,685785
228,2,+,722602,723710,1109,YBR252W,,736759,736759,737059,736259,736759
490,2,-,723539,724220,682,YBR254C,,408417,408417,408717,407917,408417
229,2,+,724433,727035,2603,YBR255W,,690029,690029,690329,689529,690029
491,2,-,726450,728096,1647,YBR256C,,529331,529331,529631,528831,529331
