,chrom,start,end
141,2,686599,687599
142,16,184972,185972
143,14,214408,215408
144,6,89879,90879
145,8,129582,130582
146,15,907614,908614
147,13,764053,765053
148,1,75534,76534
149,9,415407,416407
150,2,350192,351192
151,16,458766,459766
152,15,320250,321250
153,6,133156,134156
154,6,36928,37928
155,8,297889,298889
156,3,230386,231386
157,8,118138,119138
158,8,175043,176043
159,11,346401,347401
160,9,74161,75161
161,14,760118,761118
162,15,687701,688701
163,10,552810,553810
164,16,211360,212360
165,4,866931,867931
166,15,393319,394319
167,8,410999,411999
168,6,58739,59739
169,7,170557,171557
170,4,1175365,1176365
171,2,290469,291469
172,10,715377,716377
173,4,391277,392277
174,10,454785,455785
175,6,59389,60389
176,7,317402,318402
177,14,737205,738205
178,1,23358,24358
179,8,454640,455640
180,15,460412,461412
181,7,192046,193046
182,2,147456,148456
183,3,101894,102894
184,6,59855,60855
185,15,946588,947588
186,10,718590,719590
187,4,980954,981954
188,7,925060,926060
189,11,562961,563961
190,15,320998,321998
191,1,51283,52283
192,2,518947,519947
193,1,103048,104048
194,15,223085,224085
195,15,816837,817837
196,2,511060,512060
197,4,83458,84458
198,14,389888,390888
199,15,303138,304138
200,12,276986,277986
201,15,1052864,1053864
202,3,55767,56767
203,10,127808,128808
204,15,402185,403185
205,12,918295,919295
206,16,516496,517496
207,11,396654,397654
208,16,644149,645149
209,15,526708,527708
210,16,302694,303694
211,1,43117,44117
212,14,125688,126688
213,16,641595,642595
214,2,268705,269705
215,8,333637,334637
216,4,728351,729351
217,1,27908,28908
218,9,378489,379489
219,15,655717,656717
220,2,666840,667840
221,1,110201,111201
222,13,809057,810057
223,6,155100,156100
224,12,335932,336932
225,9,106824,107824
226,5,42966,43966
227,9,41087,42087
228,16,289934,290934
229,12,1054791,1055791
230,10,282831,283831
231,14,444652,445652
232,3,78601,79601
233,13,560458,561458
234,6,85027,86027
235,6,22751,23751
236,6,84946,85946
237,3,257799,258799
238,4,258993,259993
239,4,1228989,1229989
240,10,625363,626363
241,7,217934,218934
242,3,170577,171577
243,10,494632,495632
244,1,26546,27546
245,4,794055,795055
246,11,442633,443633
247,12,891658,892658
248,3,211559,212559
249,10,482417,483417
250,11,558093,559093
251,13,291130,292130
252,15,749383,750383
253,5,540487,541487
254,15,412602,413602
255,15,63728,64728
256,3,39255,40255
257,5,334115,335115
258,8,510675,511675
259,8,252256,253256
260,14,339302,340302
261,14,374328,375328
262,7,699631,700631
263,11,215736,216736
264,1,64990,65990
265,13,642389,643389
266,4,1208274,1209274
267,16,626164,627164
268,4,1333203,1334203
269,10,502231,503231
270,2,670824,671824
271,1,155393,156393
272,15,777524,778524
273,8,71730,72730
274,13,112271,113271
275,12,368795,369795
276,5,158771,159771
277,5,478878,479878
278,7,543714,544714
279,8,390999,391999
280,16,43623,44623
281,5,257661,258661
282,11,605159,606159
283,9,375812,376812
284,1,32871,33871
285,15,184031,185031
286,14,666698,667698
287,11,521263,522263
288,7,793379,794379
289,5,425223,426223
290,3,141919,142919
291,13,373130,374130
292,11,523439,524439
293,11,624717,625717
294,5,363783,364783
295,10,282857,283857
296,15,739764,740764
297,2,533749,534749
298,6,106024,107024
299,10,608620,609620
300,6,117681,118681
301,1,126262,127262
302,1,107470,108470
303,15,516505,517505
304,5,95492,96492
305,15,411269,412269
306,4,765316,766316
307,15,280870,281870
308,12,380091,381091
309,3,237684,238684
310,15,936883,937883
311,3,180616,181616
312,1,183421,184421
313,16,73606,74606
314,9,389786,390786
315,9,245967,246967
316,6,89846,90846
317,6,70710,71710
318,1,168895,169895
319,13,329913,330913
320,1,107227,108227
321,9,266864,267864
322,6,96717,97717
323,7,232095,233095
324,7,947352,948352
325,9,92420,93420
326,5,150208,151208
327,2,631465,632465
328,1,114894,115894
329,14,379957,380957
330,5,29981,30981
331,15,601919,602919
332,16,395154,396154
333,4,177086,178086
334,6,86357,87357
335,5,60994,61994
336,14,130249,131249
337,14,437303,438303
338,14,511849,512849
339,5,23708,24708
340,11,329673,330673
341,14,554214,555214
342,6,133863,134863
343,4,261881,262881
344,11,226673,227673
345,4,965049,966049
346,4,451555,452555
347,6,236891,237891
348,13,713143,714143
349,7,885406,886406
350,6,222151,223151
351,2,364767,365767
352,2,340982,341982
353,7,486670,487670
354,5,327438,328438
355,1,114586,115586
356,10,435251,436251
357,15,915640,916640
358,6,221843,222843
359,14,423400,424400
360,8,214543,215543
361,1,47089,48089
362,8,372002,373002
363,4,669029,670029
364,12,798917,799917
365,1,126578,127578
366,6,56123,57123
367,15,885326,886326
368,15,730153,731153
369,8,293881,294881
370,8,490148,491148
371,13,429941,430941
372,2,386488,387488
373,7,77576,78576
374,16,812237,813237
375,2,657885,658885
376,7,358738,359738
377,7,745781,746781
378,13,214762,215762
379,7,137168,138168
380,16,745747,746747
381,12,282834,283834
382,12,34178,35178
383,10,415194,416194
384,8,160133,161133
385,6,68880,69880
386,14,79612,80612
387,1,44061,45061
388,12,678377,679377
389,14,364494,365494
390,4,1361057,1362057
391,14,662111,663111
392,11,124732,125732
393,9,55934,56934
394,15,301586,302586
395,14,487808,488808
396,2,790247,791247
397,8,521647,522647
398,6,110475,111475
399,9,37278,38278
400,6,242960,243960
401,7,262836,263836
402,3,174862,175862
403,13,224258,225258
404,2,394624,395624
405,10,505163,506163
406,16,753201,754201
407,2,752189,753189
408,12,871990,872990
409,16,589782,590782
410,4,121869,122869
411,15,948295,949295
412,16,355943,356943
413,14,121755,122755
414,7,1027619,1028619
415,8,534290,535290
416,4,82728,83728
417,16,920959,921959
418,16,382522,383522
419,15,632336,633336
420,4,1259267,1260267
421,10,439608,440608
422,15,326939,327939
423,12,151142,152142
424,4,1037239,1038239
425,6,218767,219767
426,9,239707,240707
427,13,416574,417574
428,5,370267,371267
429,11,133624,134624
430,14,330629,331629
431,2,649005,650005
432,8,535570,536570
433,8,42764,43764
434,9,189836,190836
435,12,847035,848035
436,8,298545,299545
437,9,97665,98665
438,10,348843,349843
439,4,997220,998220
440,3,60011,61011
441,11,626480,627480
442,11,170921,171921
443,9,130213,131213
444,1,137067,138067
445,15,621797,622797
446,11,190453,191453
447,2,26223,27223
448,4,87480,88480
449,1,86296,87296
450,1,186032,187032
451,11,137177,138177
452,3,24434,25434
453,4,1465632,1466632
454,7,136367,137367
455,8,166131,167131
456,15,333535,334535
457,10,166071,167071
458,10,25055,26055
459,9,101056,102056
460,16,25561,26561
461,13,400599,401599
462,15,721248,722248
463,1,174786,175786
464,5,385807,386807
465,14,186617,187617
466,11,539937,540937
467,10,218779,219779
468,14,298344,299344
469,6,76374,77374
470,9,343869,344869
471,5,303473,304473
472,4,1473287,1474287
473,16,768912,769912
474,7,207170,208170
475,13,162701,163701
476,8,207357,208357
477,4,451030,452030
478,5,64857,65857
479,14,262905,263905
480,5,53248,54248
481,4,58715,59715
482,13,663539,664539
483,2,278097,279097
484,4,735488,736488
485,5,547661,548661
486,8,23035,24035
487,5,318909,319909
488,11,419156,420156
489,8,97414,98414
490,14,693507,694507
491,4,791830,792830
492,13,827143,828143
493,5,284537,285537
494,2,686829,687829
495,5,200794,201794
496,1,50449,51449
497,3,216899,217899
498,10,595339,596339
499,1,119710,120710
